Title,Description,Topic,Topic_isced,Size,Name,Discipline,Discipline_isced,Biography,Nationality,Gender,Position,Affiliation,Country_University,Prestige,Year,Location,Notes,
Correlating Extracted Categories from Two Separate Databases,,,Computing;Mathematics and statistics,4,Neiloufar Family,,,,,,,"EHESS, France",France,401-500,2005,Beijing,Fabian,
Correlating Extracted Categories from Two Separate Databases,,,Computing;Mathematics and statistics,4,Eric Miller,,,,,Male,,University of Texas at Austin,United States,Top 50,2005,Beijing,Fabian,
Correlating Extracted Categories from Two Separate Databases,,,Computing;Mathematics and statistics,4,Xia Li,,,,,,,Tsinghua University,China,Top 50,2005,Beijing,Fabian,
Correlating Extracted Categories from Two Separate Databases,,,Computing;Mathematics and statistics,4,YEN Miao,,,,,,,,,,2005,Beijing,Fabian,"Does neither have affiliation listed, nor the country from which the person arrived."
Efficient and Resilient Electric Power Networks: A Chinese Case Study,,,Engineering and engineering trades,4,Jessika Trancik,,,,,Female,,Columbia University,United States,Top 50,2005,Beijing,Fabian,
Exploring Passive-Dynamic Walking,,,Engineering and engineering trades,2,Gordon Berman,,,,,Male,,Cornell University,United States,Top 50,2005,Santa Fe,Fabian,
Efficient and Resilient Electric Power Networks: A Chinese Case Study,,,Engineering and engineering trades,4,Caterina Tiazzoldi,,,,,Female,,Politecnico di Torino,Italy,Unlisted,2005,Beijing,Fabian,
Complexity Engineering Harnessing Emergent Phenomena as Opportunities for Engineering,,,Engineering and engineering trades,2,Jonas Buchli,,,,,Male,,"Swiss Federal Insitute of Technology, Lausanne",Switzerland,Top 50,2005,Santa Fe,Fabian,
Efficient and Resilient Electric Power Networks: A Chinese Case Study,,,Engineering and engineering trades,4,Jorg Reichardt,,,,,Male,,University of Bremen,Germany,401-500,2005,Beijing,Fabian,
Efficient and Resilient Electric Power Networks: A Chinese Case Study,,,Engineering and engineering trades,4,Allison Gilmore,,,,,Female,,University of Oxford,United Kingdom,Top 50,2005,Beijing,Fabian,
Exploring Passive-Dynamic Walking,,,Engineering and engineering trades,2,Jo-Anne Ting,,,,,Female,,University of Southern California,United States,51-100,2005,Santa Fe,Fabian,
Complexity Engineering Harnessing Emergent Phenomena as Opportunities for Engineering,,,Engineering and engineering trades,2,Cristina Santini,,,,,Female,,University of York,United Kingdom,301-400,2005,Santa Fe,Fabian,
Diversification of Regional Dialect,,,Humanities,3,Maureen Ballard,,,,,Female,,Centro Atómico Bariloche,Argentinia,Not University,2005,Beijing,Fabian,
Diversification of Regional Dialect,,,Humanities,3,Robert Stojnic,,,,,Male,,Faculty of Technical Sciences,Serbia and Montenegro,Unlisted,2005,Beijing,Fabian,
The Story of Eagles and Pikas in Tibet.,,,Humanities,3,Zhou Chunlai,,,,,,,Indiana University,United States,101-150,2005,Beijing,Fabian,Could also be Zhou Chan
The Story of Eagles and Pikas in Tibet.,,,Humanities,3,Chang Yunfeng,,,,,,,Institute of Particle Physics,China,Not University,2005,Beijing,Fabian,
The Story of Eagles and Pikas in Tibet.,,,Humanities,3,Zheng Bojin,,,,,,,,China,,2005,Beijing,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
Diversification of Regional Dialect,,,Humanities,3,William Gibson,,,,,Male,,,,,2005,Beijing,Fabian,
Sympatric Speciation in Sexual Populations,,,Life sciences,3,Liang Gao,,,,,,,Beijing Normal University,China,201-300,2005,Beijing,Fabian,
"Definitions, Measures, and Models of Robustness in Gene Regulatory Network",,,Life sciences,4,Toshimori Kitami,,,,,Male,,Case Western Reserve University,United States,101-150,2005,Santa Fe,Fabian,
"Self-Organization, Autocatalysis and Models of the Origin of Life",,,Life sciences,2,Regina R. Monaco,,,,,Female,,Columbia University,United States,Top 50,2005,Santa Fe,Fabian,
"Definitions, Measures, and Models of Robustness in Gene Regulatory Network",,,Life sciences,4,Adam Sheya,,,,,Male,,Indiana University,United States,101-150,2005,Santa Fe,Fabian,
Phase Transition in Sequence Unique Reconstruction.,,,Life sciences,2,Zhou Chunlai,,,,,,,Indiana University,United States,101-150,2005,Beijing,Fabian,Could also be Zhou Chan
Emergence of Local Connection Patterns and Other Food Web Traits: An Evolutionary Model,,,Life sciences,2,Carlos Espinosa,,,,,Male,,"Institute of Ecology, UNAM",Mexico,Not University,2005,Santa Fe,Fabian,
The Role of Corticothalamic Feedback in the Response Mode Transition of Thalamus,,,Life sciences,2,Shang Chun-feng,,,,,,,"Institute of Neuroscience, Chinese Academy of Sciences",China,Not University,2005,Beijing,Fabian,
The Role of Corticothalamic Feedback in the Response Mode Transition of Thalamus,,,Life sciences,2,Jiaxin Cui,,,,,,,"School of Management, Beijing Normal University",China,Unlisted,2005,Beijing,Fabian,
Phase Transition in Sequence Unique Reconstruction.,,,Life sciences,2,Xia Li,,,,,,,T-life Research Center,China,Not University,2005,Beijing,Fabian,Could also be Xia Li from Tsinghua University
Emergence of Local Connection Patterns and Other Food Web Traits: An Evolutionary Model,,,Life sciences,2,Mariana Benítez,,,,,Female,,Universidad de la Ciudad de México,Mexico,Unlisted,2005,Santa Fe,Fabian,
"Self-Organization, Autocatalysis and Models of the Origin of Life",,,Life sciences,2,Fatima Rateb de Montozon,,,,,Female,,University College London,United Kingdom,Top 50,2005,Santa Fe,Fabian,
"Definitions, Measures, and Models of Robustness in Gene Regulatory Network",,,Life sciences,4,Julio Monte,,,,,Male,,University of California San Diego,United States,Top 50,2005,Santa Fe,Fabian,
"Definitions, Measures, and Models of Robustness in Gene Regulatory Network",,,Life sciences,4,Min Liu,,,,,Female,,University of Houston,United States,201-300,2005,Santa Fe,Fabian,
Sympatric Speciation in Sexual Populations,,,Life sciences,3,Camille Stephan-Otto Attolini,,,,,Female,,University of Vienna,Austria,151-200,2005,Beijing,Fabian,
Sympatric Speciation in Sexual Populations,,,Life sciences,3,Zhou Chan,,,,,,,Zhejian University,China,51-100,2005,Beijing,Fabian,Could also be Zhou Chunlai
Determining Individual Player Value in Fantasy Football,,,Mathematics and statistics,2,Qiuyan Fu,,,,,,,University of Washington,United States,Top 50,2005,Beijing,Fabian,"Could also be Xue Fu; the citation says Fu, A., but this person does not exist."
Determining Individual Player Value in Fantasy Football,,,Mathematics and statistics,2,Dustin Schones,,,,,Male,,,United States,,2005,Beijing,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,Chen WeiChao,,,,,,,Beijing Normal University,China,201-300,2005,Beijing,Fabian,
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,Zhang Peng,,,,,,,Beijing Normal University,China,201-300,2005,Beijing,Fabian,
The Evolution of Cooperation by Image Scoring in a Lattice-Structured Population,,,Social and behavioural science,3,Xi Ning,,,,,,,Beijing Normal University,China,201-300,2005,Beijing,Fabian,
The Evolution of Cooperation by Image Scoring in a Lattice-Structured Population,,,Social and behavioural science,3,Zhang Peng,,,,,Male,,Beijing Normal University,China,201-300,2005,Beijing,Fabian,
Persistent Inequalities in Society,,,Social and behavioural science,3,Zhang Fengfang,,,,,,,Beijing Normal University,China,201-300,2005,Beijing,Fabian,
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,Ganesh Bagler,,,,,Male,,"Centre for Cellular and Molecular Biology, India",India,Not University,2005,Beijing,Fabian,
Evolution of Food-web Networks in Fluctuating Environments,,,Social and behavioural science,6,Ganesh Bagler,,,,,Male,,"Centre for Cellular and Molecular Biology, India",India,Not University,2005,Beijing,Fabian,
Evolution of Food-web Networks in Fluctuating Environments,,,Social and behavioural science,6,Wang Qiutao,,,,,Male,,Chinese Academy of Science,China,Not University,2005,Beijing,Fabian,
The emergence of differentiating signals within groups,,,Social and behavioural science,4,Annerieke Heuvelink,,,,,Male,,Department of Training and Instruction,United States,Not University,2005,Santa Fe,Fabian,
A simple model for the diffusion of ideas,,,Social and behavioural science,2,Luis Da Costa,Engineering,Engineering and engineering trades,,Canada,Male,,Ecole de technologie Superieure,Canada,Unlisted,2005,Santa Fe,Fabian,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural science,6,Yuichi Washida,,,,,Male,,"Hakuhodo, Inc.",Japan,Not University,2005,Beijing,Fabian,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural science,6,Allison Binns,,,,,Female,,Harvard University,United States,Top 50,2005,Beijing,Fabian,
Can Complexity Studies Advance Sustainability? Scaling in Natural & Social Systems,,,Social and behavioural science,3,Timothy Foxon,,,,,Male,,Imperial College London,United Kingdom,Top 50,2005,Santa Fe,Fabian,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural science,6,Chang Yunfeng,,,,,Male,,Institute of Particle Physics,China,Not University,2005,Beijing,Fabian,
Cooperators and connectivity: cooperation is more prevalent in network hubs,,,Social and behavioural science,2,Li Kang,,,,,Male,,"Institute of Theoretical Physics, Chinese Academy of Sciences",China,Not University,2005,Beijing,Fabian,
Simulating Escape Panic Based on the Mechanism of Asymmetric Information Distribution,,,Social and behavioural science,4,Li Kang,,,,,Male,,"Institute of Theoretical Physics, Chinese Academy of Sciences",China,Not University,2005,Beijing,Fabian,
Effect of Distance on Collaboration in the Internet Age Is not Scale Free: Distance Matters and Distance Doesn't Matter,,,Social and behavioural science,3,Eleanor Wynn,,,,,Female,Industry,Intel Corporation,United States,Not University,2005,Santa Fe,Fabian,
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,Sutirth Dey,,,,,,,Jawaharlal Nehru Centre for Advanced Scientific Research,India,Not University,2005,Beijing,Fabian,
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,Vuk Milosevic,,,,,,,"Medical faculty, University of Nis",Serbia and Montenegro,Unlisted,2005,Beijing,Fabian,
Persistent Inequalities in Society,,,Social and behavioural science,3,Zhang Alex Xuehu,,,,,Male,,Peking University,China,51-100,2005,Beijing,Fabian,
Statistical Self-Similarity in the Structural Organization of Human Forager Populations,,,Social and behavioural science,3,Steven Litvin,,,,,Male,,Rutgers University,United States,101-150,2005,Santa Fe,Fabian,
Self-organization in economics: The minority game,,,Social and behavioural science,1,Willemien Kets,,,,,Male,,Santa Fe Institute,United States,Not University,2005,Santa Fe,Fabian,
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,Jiaxin Cui,,,,,,,"School of Management, Beijing Normal University",China,Unlisted,2005,Beijing,Fabian,
Can Complexity Studies Advance Sustainability? Scaling in Natural & Social Systems,,,Social and behavioural science,3,Debora Hammond,,,,,Female,,Sonoma State University,United States,Unlisted,2005,Santa Fe,Fabian,
The emergence of differentiating signals within groups,,,Social and behavioural science,4,Edward Augenblick,,,,,Male,,Stanford University,United States,Top 50,2005,Santa Fe,Fabian,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural science,6,Jacob Harold,,,,,Male,,Stanford University,United States,Top 50,2005,Beijing,Fabian,
Simulating Escape Panic Based on the Mechanism of Asymmetric Information Distribution,,,Social and behavioural science,4,Zhao Li,,,,,,,Tsinghua University,China,Top 50,2005,Beijing,Fabian,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural science,6,Federica Rossi,,,,,Female,,Università di Modena e Reggio Emilia,Italy,Unlisted,2005,Beijing,Fabian,
Evolution of Food-web Networks in Fluctuating Environments,,,Social and behavioural science,6,Brian Hallmark,,,,,Male,,University of Arizona,United States,101-150,2005,Beijing,Fabian,
Can Complexity Studies Advance Sustainability? Scaling in Natural & Social Systems,,,Social and behavioural science,3,Jennifer Wells,,,,,Female,,University of California Berkeley,United States,Top 50,2005,Santa Fe,Fabian,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural science,6,Sameer Shah,,,,,Male,,University of California Los Angeles,United States,Top 50,2005,Beijing,Fabian,
Ricochet Robots - A Case Study for Human Complex Problem Solving,,,Social and behavioural science,3,Nicholas Butko,,,,,Male,,University of California San Diego,United States,Top 50,2005,Santa Fe,Fabian,
Statistical Self-Similarity in the Structural Organization of Human Forager Populations,,,Social and behavioural science,3,Robert Holdaway,,,,,Male,,University of Canterbury,New Zealand,401-500,2005,Santa Fe,Fabian,
Ricochet Robots - A Case Study for Human Complex Problem Solving,,,Social and behavioural science,3,Veronica Ramenzoni,,,,,Female,,University of Cincinnati,United States,301-400,2005,Santa Fe,Fabian,
A simple model for the diffusion of ideas,,,Social and behavioural science,2,Dalia Terhesiu,,,,,Female,,University of Connecticut,United States,301-400,2005,Santa Fe,Fabian,
The emergence of differentiating signals within groups,,,Social and behavioural science,4,Graham Ritchie,,,,,Male,,University of Edinburgh,United Kingdom,Top 50,2005,Santa Fe,Fabian,
Effect of Distance on Collaboration in the Internet Age Is not Scale Free: Distance Matters and Distance Doesn't Matter,,,Social and behavioural science,3,Juyong Park,,,,,Male,,University of Michigan,United States,Top 50,2005,Santa Fe,Fabian,
Evolution of Food-web Networks in Fluctuating Environments,,,Social and behavioural science,6,Oskar Burger,,,,,Male,,University of New Mexico,United States,301-400,2005,Beijing,Fabian,
The emergence of differentiating signals within groups,,,Social and behavioural science,4,Radu Iovita,,,,,Female,,University of Pennsylvania,United States,Top 50,2005,Santa Fe,Fabian,
Simulating Escape Panic Based on the Mechanism of Asymmetric Information Distribution,,,Social and behavioural science,4,Xu Meng,,,,,,,University of Science and Technology of China,China,201-300,2005,Beijing,Fabian,
Simulating Escape Panic Based on the Mechanism of Asymmetric Information Distribution,,,Social and behavioural science,4,Chu Jianxun,,,,,,,University of Science Technology of China,China,201-300,2005,Beijing,Fabian,
Evolution of Food-web Networks in Fluctuating Environments,,,Social and behavioural science,6,Samraat Pawar,,,,,,,University of Texas at Austin,United States,Top 50,2005,Beijing,Fabian,
Cooperators and connectivity: cooperation is more prevalent in network hubs,,,Social and behavioural science,2,Sam Brown,,,,,Male,,University of Texas at Austin,United States,Top 50,2005,Beijing,Fabian,
Ricochet Robots - A Case Study for Human Complex Problem Solving,,,Social and behavioural science,3,Katharina Lehmann,,,,German,Female,,University Tuebingen,Germany,151-200,2005,Santa Fe,Fabian,
Persistent Inequalities in Society,,,Social and behavioural science,3,Tejaswini More,,,,,,,Yale University,United States,Top 50,2005,Beijing,Fabian,
Effect of Distance on Collaboration in the Internet Age Is not Scale Free: Distance Matters and Distance Doesn't Matter,,,Social and behavioural science,3,Henry Kim,,,,,Male,,York University,United Kingdom,301-400,2005,Santa Fe,Fabian,
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,William Gibson,,,,,Male,,,United States,,2005,Beijing,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
Non-verbal human communication under varying levels of restrictions: An empirical and computational investigation Password and Gasekitomu games,,,Social and behavioural science,8,Daniel Rosenbloom,,,,,Male,,,United States,,2005,Beijing,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
Statistical Self-Similarity in the Structural Organization of Human Forager Populations,,,Social and behavioural science,3,Marcus Hamilton,,,,,Male,,,United States,,2005,Santa Fe,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
Evolution of Food-web Networks in Fluctuating Environments,,,Social and behavioural science,6,Xue Fu,,,,China,,,,China,,2005,Beijing,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
The Evolution of Cooperation by Image Scoring in a Lattice-Structured Population,,,Social and behavioural science,3,Xue Fu,,,,,,,,China,,2005,Beijing,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
Modeling the Evolution of Development,,,,3,Duygu Balcan,,,,Turkey,Female,,Istanbul Technical University,Turkey,401-500,2005,Santa Fe,Fabian,
Modeling the Evolution of Development,,,,3,Brett Calcott,,,,,Male,,"RSSS, ANU",Australia,Not University,2005,Santa Fe,Fabian,
Modeling the Evolution of Development,,,,3,Paul Hohenlohe,,,,,Male,,,United States,,2005,Santa Fe,Fabian,"Does not have an affiliation, but it still says which country the person arrived from."
An agent-based model of forest use with social learning,"We present an agent based model for deforestation under social learning. We assume a forest is composed of a number of land parcels. Each parcel is in either a forested or a deforested state, and the state transition is described via a two-state Markov chain. Landowners decide whether or not to cut trees based on the relative expected utility of forested and deforested parcels. The expected utility is altered by information input about actual utility, in particular the average experience in a society. We study the global landscape dynamics that result from individual decisions. We observed stationary-forested, stationary-deforested, and cyclic-forested landscapes that are induced by collective deforestation. We investigated feedback from global landscape dynamics to individual decision. We found that if the value of forested land increased with the decline of forest density, collective deforestation was more likely to occur. Extinction of forest ecosystems was predicted if the forest recovery rate was diminished by an intensive deforestation. We discuss the implications for forest policy and management.",Ecology,Agriculture and forestry and fishery,1,Akiko Satake,Ecology,Life sciences,"I am a postdoc in Evolutionary Ecology at Princeton University. I recieved my PhD at Kyushu University in Japan in 2002. My research interest is in developing theoretical framework to explore sustainable resource management. My current research focuses on how decisions of individual landowners influence landscape patterns. By developing an agent-based model for a coupled human and ecological system, we are addressing the following questions: (1) which social and ecological conditions favor forested or deforested landscapes, (2) what types of property regimes (individual, group, or government) are appropriate for effective management of forest ecosystems, and (3) how does the social structure of groups influence the success of forest management?",,Male,PostDoc,Princeton University,United States,Top 50,2006,Santa Fe,Fabian,
"Neuro-Cellular Automata: Connecting Cellular Automata, Neural Networks and Evolution","A new type of Cellular Automata is presented and stud- ied: the Neuro-Cellular Automata. The standard way of representing the rules of an automaton is replaced by an Artificial Neural Network. The motivation of this change is two-fold: to have a more biologically inspired automata and to explore the connections between Cellular Au- tomata, Neural Networks, Evolution and Complexity. The process of the development of this kind of automata is also described, as well as some considerations about important aspects of the work. We use simple one-dimensional Cellular Automata, in order to better understand the complexity of the different components of the Neuro-Cellular Automata and to evolve it, because evolution is required to design these type of automata. A study regarding ways to measure complexity is also per- formed, since these measures play an important role in evaluating the population of automata in the evolutionary process.",Computer Science,Computing,3,Anna Fedor,Biology,Life sciences,"I am Anna Fedor from Hunary, a first year PhD biology student. I am working on a project about evolving artificial neural networks that can communicate with each other in simple games. My interests include modelling, evolution, communication and game theory.

In my free time I like travelling, cycling and hiking.

I am looking forward to seeing you all! ",Hungary,Female,Student,Eötvös Lorán University of Sciences,Hungary,Unlisted,2006,Santa Fe,Fabian,
"Neuro-Cellular Automata: Connecting Cellular Automata, Neural Networks and Evolution","A new type of Cellular Automata is presented and stud- ied: the Neuro-Cellular Automata. The standard way of representing the rules of an automaton is replaced by an Artificial Neural Network. The motivation of this change is two-fold: to have a more biologically inspired automata and to explore the connections between Cellular Au- tomata, Neural Networks, Evolution and Complexity. The process of the development of this kind of automata is also described, as well as some considerations about important aspects of the work. We use simple one-dimensional Cellular Automata, in order to better understand the complexity of the different components of the Neuro-Cellular Automata and to evolve it, because evolution is required to design these type of automata. A study regarding ways to measure complexity is also per- formed, since these measures play an important role in evaluating the population of automata in the evolutionary process.",Computer Science,Computing,3,Jorge Tavares,Computer Science,Computing," Hi, my name is Jorge Tavares and I am a Computer Science PhD student, in the area of Evolutionary Computation, at the University of Coimbra.

The main topic of my thesis is to study the influence of genetic representations on complex combinatorial optimization problems. At the present, I am applying fitness landscapes analysis to a set of linear and non-linear representations for different problems.

This study is related to one of my main interests for future research: self-organizing evolutionary algorithms. The objective is to provide a basic representation framework for developing and studying these types of algorithms. Also, I would like to explore links between complex systems (mainly self-organization and regulatory networks) with the problem of evolving representations in evolutionary algorithms. ",,Male,Student,University of Coimbra,Portugal,Unlisted,2006,Santa Fe,Fabian,
"Neuro-Cellular Automata: Connecting Cellular Automata, Neural Networks and Evolution","A new type of Cellular Automata is presented and stud- ied: the Neuro-Cellular Automata. The standard way of representing the rules of an automaton is replaced by an Artificial Neural Network. The motivation of this change is two-fold: to have a more biologically inspired automata and to explore the connections between Cellular Au- tomata, Neural Networks, Evolution and Complexity. The process of the development of this kind of automata is also described, as well as some considerations about important aspects of the work. We use simple one-dimensional Cellular Automata, in order to better understand the complexity of the different components of the Neuro-Cellular Automata and to evolve it, because evolution is required to design these type of automata. A study regarding ways to measure complexity is also per- formed, since these measures play an important role in evaluating the population of automata in the evolutionary process.",Computer Science,Computing,3,Cornelia Kreutzer,Engineering,Engineering and engineering trades,"Hello everyone! My name is Cornelia Kreutzer and I am a first year PhD student at the University of Limerick, Ireland.

For my PhD project I am working on the application of Hidden Markov Models in the context of analysis and synthesis of music signals. NCRA

Originally I am from Austria, where I also did my undergraduate studies in Telecommunications Engineering before the journey of my life has led me to Ireland.

I am looking forward to see all of you soon! ",,Female,Student,University of Limerick,Ireland,Unlisted,2006,Santa Fe,Fabian,
An Optimization Algorithm Based on the Small-World Phenomenon,"We propose an optimization algorithm, called the small-world algorithm (SWA), based on searching mechanisms in social networks. The SWA emphasizes local rather than global search to find the solutions for optimization problems. We investigate two encoding strategies, binary encoding and decimal encoding, in the SWA and test them by function optimization and 0- 1 multidimensional knapsack problems. Simulation studies show that compared with the corresponding genetic algorithm (GA) the SWA is capable of preserving diversity in the set of candidate solutions, avoiding premature of the population, overcoming the “GA deceptive problem” and it converges faster. These properties suggest that the SWA is a useful method for solving complicated optimization problems.","Computer Science, Sociology",Computing;Mathematics and statistics,3,Jie Shao,Zoology,Life sciences,"I am a second-year PhD student in Zoology at the University of Oklahoma. My research interests are focused on the spontaneous increase of diversity in a digital ecosystem, particularly through the interactions among organisms. Those interactions create an ever-changing biotic environment with novel niches and thus may drive the continuous emergence of new species as well as maintain the diversity (coexistence of multiple interacting species) in the ecosystem. In my free time, I enjoy listening to Chinese classic music and playing basketball. ",,Female,Student,University of Oklahoma,United States,401-500,2006,Santa Fe,Fabian,
An Optimization Algorithm Based on the Small-World Phenomenon,"We propose an optimization algorithm, called the small-world algorithm (SWA), based on searching mechanisms in social networks. The SWA emphasizes local rather than global search to find the solutions for optimization problems. We investigate two encoding strategies, binary encoding and decimal encoding, in the SWA and test them by function optimization and 0- 1 multidimensional knapsack problems. Simulation studies show that compared with the corresponding genetic algorithm (GA) the SWA is capable of preserving diversity in the set of candidate solutions, avoiding premature of the population, overcoming the “GA deceptive problem” and it converges faster. These properties suggest that the SWA is a useful method for solving complicated optimization problems.",Computer Science,Computing;Mathematics and statistics,3,,,,,,,,,,,2006,Santa Fe,Fabian,"M. Feldman is listed in the project, but he does not appear in the participants list."
The Electricity Grid as a case-study on the Interface of Engineering Systems and Human Behavior,"We find that providing a network of initially fully connected neurons with two different baseline input patterns leads to differentiation into two corresponding clusters. Furthermore, we show that the total amount of neurotrophic factors available for each neuron plays an important role in the development of the connectivity of the neural network and we hypothesize that this might be involved in the initialization and dynamics of critical periods.",,Engineering and engineering trades,4,Yulan Zhang,Engineering,Engineering and engineering trades,"Hi all, I'm Yulan Zhang. I'm a senior student in Information Engineering at Beijing University of Posts and Telecommunications.

My main interests focus on modeling, analysis and application of complex systems in networks. The dynamic processes that drive the structural evolution of large inter networks in complex communication systems over time and have important implications for the performance of these networks and the actors that compose them.

It is the very impressive moment that I heard the theory of Reaction Nets explained by Prof. John Holland in the public lecture of the CSSS2005. As for the chemical modeling in the enlightening from the school, I found it is very interesting in establishing the adaptive system. This intrigues me of more passion for the research and interest to the CSSS to expand the knowledge and experience for farther research.

My favourite includes design, playing traditional eastern zither, travel, tennis, ping-pong, basketball, etc. And I also would like to share the happiness and unique feelings in Beijing with you.:)

I'm really looking forward to meeting you and learning with you all! ",,Female,Student,Beijing University of Posts and Telecommunications,China,Unlisted,2006,Beijing,Fabian,
The Electricity Grid as a case-study on the Interface of Engineering Systems and Human Behavior,,,Engineering and engineering trades,4,Alexis Dinno,Epidemiologist,Health,"Hello!
 
 My name is Alexis, but friends call me Lexy-Lou (or Lex, or&#133;), and I am a social epidemiologist and social ecologist. I have just defended my dissertation at Harvard School of Public Health where I majored in quantitative methods (emphasis on statistical modeling: multilevel models, spatial models, causal models, etc.) in the department of Health and Social Behavior (now Society, Health and Human Development). The third chapter of my dissertation entails a loop analysis of residential depressive experience, urban neighborhood property abandonment and urban greenspace programs.
 
 My interests in complex systems analysis are diverse:
 
  I have an abiding interest in the ontological and ideological commitments implicit in the choice of a specific analytic method. What kinds of inquiry are mobilized by systems analyses? How do they differ from (non-systems) alternatives?
 
  I have recently published an implementation of Richard Levins' qualitative loop analysis (Loop Analyst) for R on CRAN with some recent extensions. However, I am not a computer scientist, and the computationally intensive nature of the method demands that I produce more efficient code for the current implementation as well as for future extensions. Therefore I hope to sharpen my mathematical and computing skills.
 
  I have found qualitative loop analysis of system behavior to be a rewarding and robust analytic method. However, this has only been my introduction to systems approaches, and I would like both to extend my analytic repertoire, as well as to situate my ""toolkit"" within a wider domain of systems methods.
 
 I am very much looking forward to learning and sharing with you in the program this summer, and to my first visit to China. I am also an avid capoeirista and am looking for other capoeiristas to play with in Beijing while I am there!",China,Male,Student,Harvard University,United States,Top 50,2006,Beijing,Fabian,
