Topic,Topic_isced,Size,Discipline,Discipline_isced,Nationality,Gender,Position,Country_University,Prestige,Year,Location,
,Architecture and building,10,Culture Technology,Humanities,,Male,Student,South Korea,201-300,2017,Santa Fe,
,Architecture and building,9,Bioinformatics,Life sciences;Computing,,Female,Student,Germany,151-200,2018,Santa Fe,
,Architecture and building,6,Economics,Social and behavioural science,,Male,Industry,United States,Not University,2016,Santa Fe,
Urban Planning,Architecture and building,11,Systems Engineering,Engineering and engineering trades,United States,Female,Student,United States,Top 50,2014,Santa Fe,
Urban Planning,Architecture and building,7,Physics,Physical sciences,,Male,Researcher,Germany,Not University,2013,Santa Fe,
Urban Planning,Architecture and building,7,Complex Sytems,Physical sciences,,Male,Student,Canada,51-100,2013,Santa Fe,
Urban Planning,Architecture and building,11,Systems Engineering,Engineering and engineering trades,United States,Male,Industry,United States,Not University,2014,Santa Fe,
,Architecture and building,6,Software Engineer,Computing,,Female,Government,United States,Not University,2016,Santa Fe,
,Architecture and building,10,Engineering,Engineering and engineering trades,,,Government,United States,Not University,2017,Santa Fe,
Urban Planning,Architecture and building,7,Physics,Physical sciences,Singapore,Female,Student,Singapore,51-100,2013,Santa Fe,
,Architecture and building,6,Engineering,Engineering and engineering trades,,Male,Researcher,United States,Not University,2016,Santa Fe,
Urban Planning,Architecture and building,7,Engineering & Public Policy,Engineering and engineering trades,,Female,PostDoc,United States,Not University,2013,Santa Fe,
,Architecture and building,9,"Economics, Data Science",Social and behavioural science;Mathematics and statistics,,Male,Student,United States,Top 50,2018,Santa Fe,
,Architecture and building,9,Network Science,Computing,,Female,Student,United States,201-300,2018,Santa Fe,
,Architecture and building,9,Communication,Journalism and information,,Male,Student,United States,51-100,2018,Santa Fe,
,Architecture and building,9,Political Science,Social and behavioural science,,Male,Student,United States,51-100,2018,Santa Fe,
,Architecture and building,6,"Physics, Information Science",Physical sciences;Computing,,Female,Student,United States,51-100,2016,Santa Fe,
Urban Planning,Architecture and building,7,Computational Biologist,Computing;Life sciences,,Male,Researcher,United States,Unlisted,2013,Santa Fe,
Urban Planning,Architecture and building,7,Systems Science,Architecture and building;Computing,,Male,Student,United States,Unlisted,2013,Santa Fe,
Urban Planning,Architecture and building,11,Marine Biology,Life sciences,,Female,Student,United States,Top 50,2014,Santa Fe,
Urban Planning,Architecture and building,11,Biology,Life sciences,,Male,Student,United States,Top 50,2014,Santa Fe,
,Architecture and building,9,Computer Science,Computing,,Male,Student,United States,Unlisted,2018,Santa Fe,
Urban Planning,Architecture and building,11,Physics,Physical sciences,,Male,Student,United States,101-150,2014,Santa Fe,
Urban Planning,Architecture and building,7,"Oceanography, Bioinformatics",Life sciences;Computing,,Female,Student,Canada,Top 50,2013,Santa Fe,
,Architecture and building,10,Epidemiology,Health,,Male,Student,United States,Top 50,2017,Santa Fe,
,Architecture and building,10,Ecology,Life sciences,,Female,Student,Hong Kong,101-150,2017,Santa Fe,
Urban Planning,Architecture and building,11,Economics,Social and behavioural science,Italian,Male,Student,Switzerland,101-150,2014,Santa Fe,
Urban Planning,Architecture and building,3,Scientific Computation,Computing,,Male,Student,United States,51-100,2013,Santa Fe,
Urban Planning,Architecture and building,3,Sustainability,Environmental protection,Chinese,Female,Student,United States,Top 50,2013,Santa Fe,
,Architecture and building,10,"Engineering, Urban Planning",Engineering and engineering trades;Social and behavioural science,New Zealand,Male,Student,United States,Top 50,2017,Santa Fe,
,Architecture and building,9,Computational Social Science,Computing;Social and behavioural science,,Female,Professor,United States,301-400,2018,Santa Fe,
,Architecture and building,10,Computer Science,Computing,,Female,Student,United Kingdom,301-400,2017,Santa Fe,
,Architecture and building,6,Engineering,Engineering and engineering trades,,Female,Student,Canada,Top 50,2016,Santa Fe,
,Architecture and building,10,Ecology,Life sciences,,Male,Student,United States,301-400,2017,Santa Fe,
,Architecture and building,10,Agricultural Economics,Agriculture and forestry and fishery;Social and behavioural science,,Male,Student,United States,Top 50,2017,Santa Fe,
Urban Planning,Architecture and building,11,Mathematics,Mathematics and statistics,French,Female,Student,France,101-150,2014,Santa Fe,
Urban Planning,Architecture and building,11,Applied Mathematics,Mathematics and statistics,Chinese,Male,Student,Sweden,51-100,2014,Santa Fe,
,Architecture and building,9,Urban Planning,Architecture and building,Singapore,Female,Government,Singapore,Not University,2018,Santa Fe,
,Architecture and building;Mathematics and statistics,2,Computer Science,Computing,,Female,Government,United States,Not University,2018,Santa Fe,
,Architecture and building;Mathematics and statistics,2,Political Science,Social and behavioural science,,Male,Student,United States,Top 50,2018,Santa Fe,
,Arts,11,"Medicine, Biology",Health;Life sciences,,Male,Student,United States,301-400,2016,Santa Fe,
,Arts,11,Astrobiology,Physical sciences,,Male,Student,United States,101-150,2016,Santa Fe,
,Arts,6,"Physics, Public Health",Physical sciences;Health,,Male,Student,Switzerland,51-100,2018,Santa Fe,
Humanitites,Arts,3,Computer Science,Computing,,Male,Student,United Kingdom,Unlisted,2010,Santa Fe,
,Arts,11,Informatics,Computing,,Female,Student,United States,101-150,2016,Santa Fe,
,Arts,6,Dance,Arts,,Female,Professor,United States,Unlisted,2018,Santa Fe,
,Arts,6,Biology,Life sciences,,Female,Student,Germany,Not University,2018,Santa Fe,
,Arts,4,Network Science,Computing,,Female,Student,United States,201-300,2018,Santa Fe,
,Arts,11,"Physics, Information Science",Physical sciences;Computing,,Female,Student,United States,51-100,2016,Santa Fe,
,Arts,6,Physics,Physical sciences,,Female,Student,Canada,Not University,2016,Santa Fe,
,Arts,6,,,,Male,,Sweden,201-300,2016,Santa Fe,
,Arts,11,Computer Science,Computing,,Male,Student,United States,Top 50,2016,Santa Fe,
,Arts,4,Computer Science,Computing,,Male,Student,United States,Unlisted,2018,Santa Fe,
,Arts,11,"Engineering, Mathematics",Engineering and engineering trades;Mathematics and statistics,,Male,Postdoc,Belgium,51-100,2016,Santa Fe,
,Arts,11,Geography,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
,Arts,11,Physics,Physical sciences,,Female,Student,New Zealand,201-300,2016,Santa Fe,
,Arts,6,Biology,Life sciences,China,Female,Student,United States,Top 50,2016,Santa Fe,
,Arts,6,Physics,Physical sciences,,Female,Student,United States,51-100,2018,Santa Fe,
,Arts,6,Neuroscience,Social and behavioural science,,Female,Student,United States,51-100,2018,Santa Fe,
,Arts,4,Ecology,Life sciences,,Male,Student,United States,Top 50,2018,Santa Fe,
,Arts,4,Animal Behavior,Life sciences,,Female,Postdoc,United Kingdom,151-200,2018,Santa Fe,
,Arts,6,Social Epidemiology,Health,,Male,Researcher,United Kingdom,151-200,2016,Santa Fe,
,Arts,6,Engineering,Engineering and engineering trades,,Female,Professor,United States,Unlisted,2018,Santa Fe,
,Arts,11,"Mathematics, Data Analytics",Mathematics and statistics,,Male,Student,United Kingdom,101-150,2016,Santa Fe,
,Arts,6,Statistics,Mathematics and statistics,,Male,Student,United States,Top 50,2016,Santa Fe,
,Arts,11,Physics,Physical sciences,,Male,Student,United States,Top 50,2016,Santa Fe,
Humanitites,Arts,3,Sociology,Social and behavioural science,United States,Male,Student,United Kingdom,Top 50,2010,Santa Fe,
,Arts,6,Mathematics,Mathematics and statistics,,Male,Student,South Africa,201-300,2016,Santa Fe,
Humanitites,Arts,3,Psychology,Social and behavioural science,,Female,Student,Poland,301-400,2010,Santa Fe,
,Arts,11,Biology,Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,
,Arts;Social and behavioural science,7,"Neuroscience, Medicine",Social and behavioural science;Health,,Male,Student,Germany,Not University,2015,Santa Fe,Possibly published
,Arts;Social and behavioural science,7,"Engineering, Business",Engineering and engineering trades;Business and administration,,Male,Industry,United States,Not University,2015,Santa Fe,Possibly published
,Arts;Social and behavioural science,7,Ecology,Life sciences,,Male,Student,United States,Top 50,2015,Santa Fe,Possibly published
,Arts;Social and behavioural science,7,Engineering,Engineering and engineering trades,,Female,Professor,Spain,Unlisted,2015,Santa Fe,Possibly published
,Arts;Social and behavioural science,7,Economics,Social and behavioural science,,Female,Student,Italy,Unlisted,2015,Santa Fe,Possibly published
,Arts;Social and behavioural science,7,Computer Science,Computing,,Male,Student,United States,Top 50,2015,Santa Fe,Possibly published
,Arts;Social and behavioural science,7,Economics,Social and behavioural science,,Male,Student,Belgium,51-100,2015,Santa Fe,Possibly published
Finance,Business and administration,8,Wireless Communication,Engineering and engineering trades,,Male,Student,China,Unlisted,2007,Beijing,
"Networks, Real Estate",Business and administration,4,Economics,Social and behavioural science,Colombia,Male,Student,United States,201-300,2008,Santa Fe,
Real Estate,Business and administration,6,Real Estate Finance,Business and administration,,Female,Student,China,Not University,2007,Beijing,
Management,Business and administration,4,Sociology,Social and behavioural science,,Male,Student,United States,Top 50,2010,Santa Fe,
Management,Business and administration,4,Computer Science,Computing,,Male,Student,United States,Top 50,2010,Santa Fe,
Management,Business and administration,4,Computer Science,Computing,,Male,Student,United States,201-300,2010,Santa Fe,
Management,Business and administration,4,Public Policy,Social and behavioural science,,Male,Student,Netherlands,151-200,2010,Santa Fe,
Economics,Business and administration,12,Economics,Social and behavioural science,Spanish,Male,Student,Italy,Unlisted,2014,Santa Fe,
Management,Business and administration,4,Public Policy,Social and behavioural science,,Female,Student,United States,201-300,2010,Santa Fe,
Economics,Business and administration,6,Economics,Social and behavioural science,,Female,Student,United States,201-300,2013,Santa Fe,
Economics,Business and administration,12,Business,Business and administration,,Male,Industry,Australia,Not University,2014,Santa Fe,
Economics,Business and administration,8,Systems Engineering,Engineering and engineering trades,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
Economics,Business and administration,12,Systems Engineering,Engineering and engineering trades,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
Economics,Business and administration,6,Information Systems,Computing,Indian,Male,Student,India,Unlisted,2013,Santa Fe,
Finance,Business and administration,8,Biophysics,Physical sciences,,Female,Student,United States,101-150,2007,Beijing,
Management,Business and administration,4,"Management, Engineering",Business and administration;Engineering and engineering trades,,Male,Industry,Italy,Not University,2010,Santa Fe,
Finance,Business and administration,8,Computer Science,Computing,,Male,Student,China,201-300,2007,Beijing,
Economics,Business and administration,6,Physics,Physical sciences,,Male,Researcher,Germany,Not University,2013,Santa Fe,
"Networks, Real Estate",Business and administration,4,Systems Engineering,Engineering and engineering trades,,Male,Industry,United States,Not University,2008,Santa Fe,
Economics,Business and administration,12,Systems Engineering,Engineering and engineering trades,United States,Male,Industry,United States,Not University,2014,Santa Fe,
,Business and administration,7,Business,Business and administration,,Male,Industry,Singapore,Not University,2016,Santa Fe,
Economics,Business and administration,12,Engineering,Engineering and engineering trades,Singapore,Male,Student,Singapore,51-100,2014,Santa Fe,
,Business and administration,7,Computer Science,Computing,,Male,Student,United States,201-300,2016,Santa Fe,
Real Estate,Business and administration,6,"Engineering, Economics",Engineering and engineering trades,,Female,Student,United States,51-100,2007,Beijing,
Finance,Business and administration,8,"Probability Theory, Stochastic Processes",Mathematics and statistics,,Female,Student,China,51-100,2007,Beijing,
,Business and administration,7,"Physics, Information Science",Physical sciences;Computing,,Female,Student,United States,51-100,2016,Santa Fe,
Economics,Business and administration,6,Sociology,Social and behavioural science,United States,Female,Student,United States,Top 50,2013,Santa Fe,
Economics,Business and administration,8,Sociology,Social and behavioural science,United States,Female,Student,United States,Top 50,2014,Santa Fe,
Economics,Business and administration,12,Sociology,Social and behavioural science,United States,Female,Student,United States,Top 50,2014,Santa Fe,
Management,Business and administration,4,Computer Science,Computing,,Male,Industry,Italy,Not University,2010,Santa Fe,
,Business and administration,7,Mathematics,Mathematics and statistics,,Male,Industry,United States,Not University,2016,Santa Fe,
Real Estate,Business and administration,6,Economic Sociology,Social and behavioural science,,Female,Student,China,Top 50,2007,Beijing,
Finance,Business and administration,8,"Computer Science, Automation",Computing,,Male,Student,China,Top 50,2007,Beijing,
Economics,Business and administration,12,Ecology,Life sciences,Brazilian,Female,Student,Brazil,151-200,2014,Santa Fe,
Economics,Business and administration,6,Sustainability,Environmental protection,United States,Male,Student,United States,Unlisted,2013,Santa Fe,
Economics,Business and administration,8,Physics,Physical sciences,,Male,Student,United States,101-150,2014,Santa Fe,
Finance,Business and administration,8,Computer Science,Computing,,Male,Student,United States,51-100,2007,Beijing,
,Business and administration,7,Computer Science,Computing,,Male,Student,United States,51-100,2016,Santa Fe,
Economics,Business and administration,12,Ecology,Life sciences,United States,Male,Student,United States,151-200,2014,Santa Fe,
Management,Business and administration,4,Physics,Physical Sciences,,Female,Student,Italy,Unlisted,2010,Santa Fe,
Economics,Business and administration,12,Mathematics,Mathematics and statistics,,Male,PostDoc,United States,Top 50,2014,Santa Fe,
,Business and administration,7,Engineering,Engineering and engineering trades,,Male,Student,China,201-300,2016,Santa Fe,
Economics,Business and administration,12,Economics,Social and behavioural science,Italian,Male,Student,Switzerland,101-150,2014,Santa Fe,
Finance,Business and administration,8,Finance,Business and administration,,Female,Professor,Canada,101-150,2007,Beijing,
Real Estate,Business and administration,6,,,,Male,Postdoc,United Kingdom,Top 50,2007,Beijing,
Real Estate,Business and administration,6,Architecture,Architecture and building,,,,United States,Top 50,2007,Beijing,
Economics,Business and administration,8,Medicine,Health,,Female,Researcher,United States,Top 50,2014,Santa Fe,
Economics,Business and administration,8,Economics,Social and behavioural science,,Male,Student,Belgium,Unlisted,2014,Santa Fe,
Finance,Business and administration,2,Physics,Physical sciences,,Male,Student,Italy,201-300,2007,Santa Fe,
Economics,Business and administration,6,Mechanical Engineering,Engineering and engineering trades,United States,Female,Student,United States,Top 50,2013,Santa Fe,
,Business and administration,7,Mathematics,Mathematics and statistics,,Male,Student,South Africa,201-300,2016,Santa Fe,
Economics,Business and administration,8,Sustainability,Environmental protection,,Male,Researcher,Japan,Top 50,2014,Santa Fe,
Economics,Business and administration,8,Economics,Social and behavioural science,,Male,Student,United States,101-150,2014,Santa Fe,
Economics,Business and administration,12,Economics,Social and behavioural science,,Male,Student,United States,101-150,2014,Santa Fe,
Real Estate,Business and administration,6,Sociology,Social and behavioural science,,Male,Student,United States,Top 50,2007,Beijing,
Finance,Business and administration,8,"Economics, Geography",Social and behavioural science,,,Student,Netherlands,51-100,2007,Beijing,
Economics,Business and administration,8,Biology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
"Networks, Real Estate",Business and administration,4,Evolutionary Biology,Life sciences,United States,Male,Student,United States,301-400,2008,Santa Fe,
Economics,Business and administration,12,FIne Arts,Arts,,Female,Student,United States,Top 50,2014,Santa Fe,
Finance,Business and administration,2,,,,,,,,2007,Santa Fe,
"Networks, Real Estate",Business and administration,4,,,,,,,,2008,Santa Fe,
,Business and administration;Agriculture and forestry and fishery,7,Engineering,Engineering and engineering trades,,Female,Government,United States,Not University,2017,Santa Fe,
,Business and administration;Agriculture and forestry and fishery,7,Global Studies,Social and behavioural science,,Female,Postdoc,United States,Top 50,2017,Santa Fe,
,Business and administration;Agriculture and forestry and fishery,7,Ecology,Life sciences,,Male,Researcher,United States,Not University,2017,Santa Fe,
,Business and administration;Agriculture and forestry and fishery,7,Ecology,Life sciences,,Female,Researcher,Sweden,Not University,2017,Santa Fe,
,Business and administration;Agriculture and forestry and fishery,7,Ecology,Life sciences,,Female,Student,Iceland,Unlisted,2017,Santa Fe,
,Business and administration;Agriculture and forestry and fishery,7,Biology,Life sciences,Italy,Male,Student,United Kingdom,301-400,2017,Santa Fe,
,Business and administration;Agriculture and forestry and fishery,7,Economics,Social and behavioural science,,Male,Student,United States,101-150,2017,Santa Fe,
,Computing,6,,,,Male,,United States,101-150,2005,Santa Fe,
Networks,Computing,4,Artificial Intelligence,Computing,,Female,Student,United States,Not University,2008,Santa Fe,
Networks,Computing,2,Complex Systems,Physical sciences,,Female,Student,Germany,401-500,2008,Santa Fe,
Biology?,Computing,5,"Artificial Intelligence, Computer Science",Computing,,Male,Industry,United Kingdom,Not University,2007,Santa Fe,
,Computing,2,"Engineering, Business",Engineering and engineering trades;Business and administration,,Male,Industry,United States,Not University,2015,Santa Fe,Published: https://onlinelibrary.wiley.com/doi/full/10.1002/cplx.21799
,Computing,6,Engineering,Engineering and engineering trades,Canada,Male,,Canada,Unlisted,2005,Santa Fe,
Networks,Computing,8,Applied Mathematics,Mathematics and statistics,Italian,Female,Student,France,51-100,2013,Santa Fe,
Biology?,Computing,5,Systems Biology,Physical sciences,,Male,Student,Germany,Not University,2007,Santa Fe,
Computer Science,Computing,3,Biology,Life sciences,Hungary,Female,Student,Hungary,Unlisted,2006,Santa Fe,
,Computing,2,,,Hungary,Male,,Hungary,Unlisted,2005,Santa Fe,
Networks,Computing,12,Economics,Social and behavioural science,Spanish,Male,Student,Italy,Unlisted,2014,Santa Fe,
Networks,Computing,12,Economics,Social and behavioural science,,Male,Student,United States,201-300,2014,Santa Fe,
Networks,Computing,6,"Communication, Culture, Technology",Journalism and information,United States,Male,Student ,United States,201-300,2007,Santa Fe,
Networks,Computing,8,Physics,Physical sciences,,Male,Student,United States,51-100,2013,Santa Fe,
Networks,Computing,5,Physics,Physical sciences,,Male,Student,United States,51-100,2013,Santa Fe,
"Network Science, Social Science",Computing,9,Computer Science,Computing,,Male,Student,United Kingdom,Unlisted,2010,Santa Fe,
Network Analysis,Computing,4,Systems Biology,Life sciences,Ukrainian,Male,Student,Netherlands,51-100,2012,Santa Fe,
Networks,Computing,12,Business,Business and administration,,Male,Industry,Australia,Not University,2014,Santa Fe,
"Network Science, Public Health",Computing,5,Public Health,Health,,Male,Student,United States,Top 50,2009,Santa Fe,
,Computing,6,,,,Female,,Argentinia,Not University,2005,Santa Fe,
Networks,Computing,8,Systems Engineering,Engineering and engineering trades,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
"Network Science, Public Health",Computing,5,Mathematics and statistics,,,Female,Student,India,401-500,2009,Santa Fe,
"Network Science, Virology",Computing,1,Mathematics and statistics,,,Female,Student,India,401-500,2009,Santa Fe,
Network Analysis,Computing,4,"Informatics, Complex Systems",Computing,,Male,Student,United States,101-150,2012,Santa Fe,
,Computing,6,,,,Male,,United States,101-150,2005,Santa Fe,
Network Science,Computing,3,Physics,Physical Sciences,,Male,Student,Argentinia,Not University,2010,Santa Fe,
Networks,Computing,6,Engineering,Engineering and engineering trades,,Male,Industry,United States,Not University,2007,Santa Fe,
Networks,Computing,7,Medicine,Health,Japanese,Male,Researcher,United States,Top 50,2014,Santa Fe,
Network Analysis,Computing,4,Public Health,Health,,Male,Student,Sweden,Top 50,2012,Santa Fe,
Networks,Computing,6,Physics,Physical sciences,Brazilian,Male,Student,Germany,151-200,2013,Santa Fe,
Networks,Computing,8,Ecology,Life sciences,,Male,Student,Australia,201-300,2014,Santa Fe,
Networks,Computing,6,Physics,Physical sciences,,Male,Student ,United States,Top 50,2007,Santa Fe,
Network Science,Computing,3,"Physics, Ecology",Physical Sciences;Life sciences,,Male,Student,Germany,Not University,2010,Santa Fe,
Networks,Computing,8,Physics,Physical sciences,,Male,Student,Germany,Not University,2014,Santa Fe,
Network Science,Computing,4,Physics,Physical Sciences,,Male,Student,Austria,151-200,2010,Santa Fe,
Networks,Computing,6,Systems Engineering,Engineering and engineering trades,,Male,Industry,United States,Not University,2007,Santa Fe,
Networks,Computing,8,Physics,Physical sciences,Singapore,Female,Student,Singapore,51-100,2013,Santa Fe,
Networks,Computing,5,Physics,Physical sciences,Singapore,Female,Student,Singapore,51-100,2013,Santa Fe,
"Network Science, Social Science",Computing,5,Engineering,Engineering and engineering trades,,Male,Government,United States,Not University,2009,Santa Fe,
,Computing,5,,,,Male,,United States,Not University,2005,Santa Fe,
Networks,Computing,14,Ecology,Life sciences,,Female,Student,United States,51-100,2014,Santa Fe,
Networks,Computing,8,Ecology,Life sciences,,Female,Student,United States,51-100,2014,Santa Fe,
Networks,Computing,8,Ecology,Life sciences,,Female,PostDoc,United States,51-100,2014,Santa Fe,
Networks,Computing,14,Epidemiology,Health,United States,Male,Student,United States,51-100,2014,Santa Fe,
,Computing,5,Physics,Physical sciences,,Male,Postdoc,Canada,Not University,2017,Santa Fe,
Networks,Computing,5,Sociology,Social and behavioural science,United States,Male,Student,United States,Top 50,2013,Santa Fe,
"Network Science, Social Science",Computing,9,Biology,Life sciences,,Male,Student,United States,Top 50,2010,Santa Fe,
Computational Complexity,Computing,3,Biology,Life sciences,,Male,Postdoc,United States,Top 50,2007,Santa Fe,
Networks,Computing,7,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
Computing Science,Computing,3,Philosophy,Humanities,,Male,Student,Italy,401-500,2009,Santa Fe,
,Computing,5,,,,Male,,United States,Not University,2005,Santa Fe,
Network Analysis,Computing,4,Economics,Social and behavioural science,Italian,Male,Student,Italy,Unlisted,2012,Santa Fe,
Network Analysis,Computing,6,Economics,Social and behavioural science,Italian,Male,Student,Italy,Unlisted,2012,Santa Fe,
Networks,Computing,6,Economics,Social and behavioural science,Italian,Female,Student,Italy,Unlisted,2013,Santa Fe,
Network Analysis,Computing,6,Evolutionary Biology,Life sciences,United States,Male,Student,United States,Top 50,2012,Santa Fe,
Networks,Computing,14,Sociology,Social and behavioural science,United States,Female,Student,United States,Top 50,2014,Santa Fe,
"Network Science, Social Science",Computing,9,Computer Science,Computing,,Male,Industry,Italy,Not University,2010,Santa Fe,
"Network Science, Public Health",Computing,5,Engineering,Engineering and engineering trades,,Male,Student,United States,151-200,2009,Santa Fe,
,Computing,5,,,,Male,,United States,Not University,2005,Santa Fe,
,Computing,5,Economics,Social and behavioural science,,Male,Student,Germany,151-200,2017,Santa Fe,
Networks,Computing,6,"Economisc, International Politics",Social and behavioural science,,Male,Student ,United States,151-200,2007,Santa Fe,
Computing Science,Computing,3,Physics,Physical Sciences,,Male,student,Spain,201-300,2009,Santa Fe,"Not really a student, just graduated. but still pretty good."
Networks,Computing,14,Ecology,Life sciences,Brazilian,Female,Student,Brazil,151-200,2014,Santa Fe,
Networks,Computing,12,Ecology,Life sciences,Brazilian,Female,Student,Brazil,151-200,2014,Santa Fe,
Networks,Computing,2,Applied Systems Science,Engineering and engineering trades,,Male,Student,Spain,201-300,2008,Santa Fe,
Networks,Computing,8,Physics,Physical sciences,,Male,Student,Spain,201-300,2013,Santa Fe,
,Computing,5,Bioinformatics,Life sciences;Computing,,Male,Student,Canada,Top 50,2017,Santa Fe,
Networks,Computing,8,"Oceanography, Bioinformatics",Computing;Life sciences,,Female,Student,Canada,Top 50,2013,Santa Fe,
Computing Science,Computing,3,Physics,Physical Sciences,Canada,Male,Student,Canada,151-200,2009,Santa Fe,Will have joined Princeton University the following year
"Network Science, Social Science",Computing,5,Physics,Physical Sciences,Canada,Male,Student,Canada,151-200,2009,Santa Fe,
"Network Science, Social Science",Computing,5,"Physics, Complexity Science",Physical Sciences;Computing,,Male,Student,Canada,151-200,2009,Santa Fe,
Networks,Computing,4,"Physics, Astronomy",Physical sciences,,Male,Student,Canada,151-200,2008,Santa Fe,
Network Analysis,Computing,6,Physics,Physical sciences,,Male,Student,United States,51-100,2012,Santa Fe,
Networks,Computing,8,Applied Mathematics,Mathematics and statistics,United States,Male,Student,United States,51-100,2013,Santa Fe,
Network Science,Computing,1,Mathematics,Mathematics and statistics,United States,Male,Student,United States,51-100,2009,Santa Fe,
Information Theory,Computing,2,"Physics, Computer Science, Engineering",Physical sciences;Engineering and engineering trades,,Male,Student,United States,51-100,2007,Santa Fe,
Networks,Computing,14,Ecology,Life sciences,United States,Male,Student,United States,151-200,2014,Santa Fe,
Networks,Computing,12,Ecology,Life sciences,United States,Male,Student,United States,151-200,2014,Santa Fe,
Network Science,Computing,3,Physics,Physical Sciences,,Female,Student,Italy,Unlisted,2010,Santa Fe,
Network Science,Computing,4,Physics,Physical Sciences,,Female,Student,Italy,Unlisted,2010,Santa Fe,
Networks,Computing,4,Computer Science,Computing,,Male,Student,United States,301-400,2008,Santa Fe,
Networks,Computing,14,Computer Science,Computing,United States,Female,Student,United States,Top 50,2014,Santa Fe,
Networks,Computing,8,Computer Science,Computing,United States,Female,Student,United States,Top 50,2014,Santa Fe,
Computer Science,Computing,3,Computer Science,Computing,,Male,Student,Portugal,Unlisted,2006,Santa Fe,
Networks,Computing,14,Mathematics,Mathematics and statistics,,Male,PostDoc,United States,Top 50,2014,Santa Fe,
,Computing,6,,,,Female,,United States,301-400,2005,Santa Fe,
Network Science,Computing,3,Computer Science,Computing,,Male,Student,United Kingdom,Top 50,2009,Santa Fe,
Networks,Computing,8,Linguistics,Humanities,,Male,Student,United Kingdom,Top 50,2013,Santa Fe,
Network Science,Computing,3,"Biology, Computer Science",Life sciences;Computing,,Male,Student,Germany,Unlisted,2010,Santa Fe,
Networks,Computing,6,Computer Science,Computing,Italian,Male,Student,Germany,51-100,2013,Santa Fe,
Network Science,Computing,3,Physics,Physical Sciences,,Female,Student,United States,Top 50,2009,Santa Fe,
Biology?,Computing,5,Information Systems,Computing,,Male,Student,Switzerland,101-150,2007,Santa Fe,
Networks,Computing,12,Economics,Social and behavioural science,Italian,Male,Student,Switzerland,101-150,2014,Santa Fe,
Networks,Computing,8,Chemistry,Physical sciences,,Female,PostDoc,United Kingdom,101-150,2014,Santa Fe,
Computer Science,Computing,3,Engineering,Engineering and engineering trades,,Female,Student,Ireland,Unlisted,2006,Santa Fe,
Network Science,Computing,4,Mathematics,Mathematics and statistics,,Male,Professor,Ireland,Unlisted,2010,Santa Fe,
"Network Science, Social Science",Computing,9,Ecology,Life sciences,,Female,Professor,United Kingdom,Top 50,2010,Santa Fe,
Network Analysis,Computing,6,Biological Sciences,Life sciences,,Female,Student,United States,51-100,2012,Santa Fe,
